Prenom;Nom;Pays;Points;100mhaies;Hauteur;Poids;200m;Longueur;Javelot;800m
Nafissatou;Thiam;Belgique;6791;1044;1132;849;896;1040;951;879
Anouk;Vetter;Pays-Bas;6689;1111;978;880;999;997;883;841
Emma;Oosterwegel;Pays-Bas;6590;1071;978;746;957;940;949;949
Noor;Vidts;Belgique;6571;1099;1016;816;1010;949;702;979
Kendell;Williams;Etats-Unis;6508;1129;978;688;981;1030;836;866
Annie;Kunz;Etats-Unis;6420;1052;978;871;969;949;721;880
Carolin;Schafer;Allemagne;6419;1081;978;793;949;783;940;895
Ivona;Dadic;Autriche;6403;1034;1016;801;949;883;829;891
Erica;Bougard;Etats-Unis;6369;1103;1054;707;973;868;794;880
Zheng;Ninali;Chine;6318;1084;978;764;928;887;717;960
Verena;Mayr;Autriche;6310;1028;941;767;929;887;763;995
Ekaterina;Voronina;Ouzbekistan;6298;952;941;778;917;883;858;969
Xenia;Krizsan;Hongrie;6295;1039;903;779;890;831;872;999
Evelis;Aguilar;Colombie;6214;994;830;755;976;940;761;958
Odile;Ahouanwanou;Benin;6186;1078;903;891;995;871;743;705
Adrianna;Sulek;Pologne;6164;1039;1016;714;965;828;607;995
Maria;Huntington;Finlande;6135;1094;978;694;933;880;723;833
María;Vicente;Espagne;6117;1059;941;707;1029;905;611;865
Vanessa;Rimm;Allemagne;6114;995;941;829;884;831;759;875
Georgia;Ellenwood;Canada;6077;1055;1016;687;932;807;746;834
